month,year,module,trt,habitat,RICHNESSF_NACE,SHANNON
JUN,2009,12,C,veg,4,0.39593086762688134
JUN,2009,12,X,veg,2,0.30463609734923813
JUN,2009,13,C,unveg,1,0
JUN,2009,13,X,unveg,1,0
JUN,2009,14,C,unveg,1,0
JUN,2009,14,X,unveg,1,0
JUN,2009,15,C,unveg,2,0.11466528220290656
JUN,2009,15,X,unveg,0,0
JUN,2009,16,C,unveg,1,0
JUN,2009,16,X,unveg,1,0
JUN,2009,2,C,veg,2,0.362210557135449
JUN,2009,2,X,veg,1,0
JUN,2009,3,C,veg,1,0
JUN,2009,3,X,veg,1,0
JUN,2009,4,C,veg,1,0
JUN,2009,4,X,veg,1,0
JUN,2009,5,C,unveg,1,0
JUN,2009,5,X,unveg,0,0
JUN,2009,6,C,unveg,0,0
JUN,2009,6,X,unveg,0,0
JUN,2009,7,C,veg,1,0
JUN,2009,7,X,veg,2,0.22371807606583377
JUN,2009,8,C,veg,1,0
JUN,2009,8,X,veg,1,0
JUN,2009,9,C,unveg,1,0
JUN,2009,9,X,unveg,0,0
