year,month,module,trt,habitat
2015,AUG,5,C,unveg
2015,AUG,5,X,unveg
2015,AUG,6,C,unveg
2015,AUG,6,X,unveg
2015,AUG,7,C,veg
2015,AUG,7,X,veg
2015,AUG,8,C,veg
2015,AUG,8,X,veg
2015,AUG,9,C,unveg
2015,AUG,9,X,unveg
2015,AUG,10,C,unveg
2015,AUG,10,X,unveg
2015,AUG,11,C,veg
2015,AUG,11,X,veg
2015,AUG,12,C,veg
2015,AUG,12,X,veg
2015,AUG,13,C,unveg
2015,AUG,13,X,unveg
2015,AUG,14,C,unveg
2015,AUG,14,X,unveg
2015,AUG,15,C,unveg
2015,AUG,15,X,unveg
2015,AUG,16,C,unveg
2015,AUG,16,X,unveg
