year,month,habitat,module,plot,trt,spp,percov,comments
2009,JUN,unveg,16,16X,X,PERSPP,3,
2009,JUN,unveg,16,16X,X,DET,5,
2009,JUN,unveg,16,16X,X,TRASH,0.5,
2009,JUN,unveg,16,16X,X,BARE,98,
2009,AUG,unveg,5,5C,C,BARE,99,
2009,AUG,unveg,5,5C,C,DET,0.5,
2009,AUG,unveg,5,5C,C,TRASH,0.5,
2009,AUG,unveg,5,5X,X,BARE,100,
2009,AUG,unveg,5,5X,X,DET,0.5,
2009,AUG,unveg,6,6C,C,BARE,100,
2009,AUG,unveg,6,6C,C,DET,0.5,
2009,AUG,unveg,6,6X,X,BARE,100,
2009,AUG,unveg,6,6X,X,DET,0.5,
2009,AUG,unveg,9,9C,C,BARE,99,
2009,AUG,unveg,9,9C,C,DET,1,
2009,AUG,unveg,9,9X,X,BARE,100,
2009,AUG,unveg,9,9X,X,DET,0.1,
2009,AUG,unveg,10,10C,C,BARE,100,
2009,AUG,unveg,10,10C,C,DET,0.1,
2009,AUG,unveg,10,10X,X,BARE,100,
2009,AUG,unveg,10,10X,X,DET,0.1,
2009,AUG,unveg,13,13C,C,BARE,100,
2009,AUG,unveg,13,13C,C,DET,0.1,
2009,AUG,unveg,13,13C,C,PERHYD,0.1,
2009,AUG,unveg,13,13X,X,BARE,90,
2009,AUG,unveg,13,13X,X,DET,2,
2009,AUG,unveg,13,13X,X,PERPUN,6,
2009,AUG,unveg,13,13X,X,TRASH,2,
2009,AUG,unveg,14,14C,C,BARE,96,
2009,AUG,unveg,14,14C,C,DET,2,
2009,AUG,unveg,14,14C,C,TRASH,2,
2009,AUG,unveg,14,14X,X,BARE,95,
2009,AUG,unveg,14,14X,X,DET,3,
2009,AUG,unveg,14,14X,X,PERHYD,0.1,
2009,AUG,unveg,14,14X,X,TRASH,2,
2009,AUG,unveg,15,15C,C,BARE,85,
2009,AUG,unveg,15,15C,C,DET,15,
2009,AUG,unveg,15,15C,C,PERHYD,0.1,
2009,AUG,unveg,15,15C,C,PELVIR,0.5,
2009,AUG,unveg,15,15X,X,BARE,100,
2009,AUG,unveg,15,15X,X,DET,0.5,
2009,AUG,unveg,16,16C,C,BARE,100,
2009,AUG,unveg,16,16C,C,DET,0.1,
2009,AUG,unveg,16,16C,C,TRASH,0.1,
2009,AUG,unveg,16,16X,X,BARE,85,
2009,AUG,unveg,16,16X,X,DET,3,
2009,AUG,unveg,16,16X,X,PERPUN,10,
2010,JUN,unveg,5,5C,C,BARE,100,
2010,JUN,unveg,5,5C,C,DET,0.5,
2010,JUN,unveg,5,5C,C,TRASH,1,
2010,JUN,unveg,5,5X,X,BARE,99,
2010,JUN,unveg,5,5X,X,BIDFRO,0.5,
2010,JUN,unveg,5,5X,X,TYPSPP,0.5,changed from TYPLAT to TYPSPP ck 23aug17
2010,JUN,unveg,6,6C,C,BARE,100,
2010,JUN,unveg,6,6C,C,DET,0.1,
2010,JUN,unveg,6,6X,X,BARE,99,
2010,JUN,unveg,6,6X,X,DET,0.1,
2010,JUN,unveg,6,6X,X,ZIZAQU,0.5,
2010,JUN,unveg,9,9C,C,BARE,100,
2010,JUN,unveg,9,9C,C,DET,0.1,
2010,JUN,unveg,9,9X,X,BARE,85,
2010,JUN,unveg,9,9X,X,DET,0.5,
2010,JUN,unveg,9,9X,X,UNKOPP,0.5,
2010,JUN,unveg,9,9X,X,PELVIR,1,
2010,JUN,unveg,9,9X,X,ZIZAQU,15,
2010,JUN,unveg,10,10C,C,BARE,100,
2010,JUN,unveg,10,10C,C,DET,0.5,
2010,JUN,unveg,10,10X,X,BARE,100,
2010,JUN,unveg,10,10X,X,DET,0.5,
2010,JUN,unveg,10,10X,X,UNKOPP,0.1,
2010,JUN,unveg,13,13C,C,BARE,99,
2010,JUN,unveg,13,13C,C,DET,1,
2010,JUN,unveg,13,13C,C,PERSPP,0.1,
2010,JUN,unveg,13,13C,C,SAGLAT,0.1,
2010,JUN,unveg,13,13X,X,BARE,97,
2010,JUN,unveg,13,13X,X,DET,1,
2010,JUN,unveg,13,13X,X,PERPUN,0.5,changed from POLSP to POLPUN based on AUG10 data ck 23feb11
2010,JUN,unveg,13,13X,X,ZIZAQU,2,
2010,JUN,unveg,14,14C,C,BARE,97,
2010,JUN,unveg,14,14C,C,DET,1,
2010,JUN,unveg,14,14C,C,TRASH,0.5,
2010,JUN,unveg,14,14C,C,PERHYD,0.5,changed from POLSP to POLHYD based on AUG10 data ck 23feb11 
2010,JUN,unveg,14,14C,C,ZIZAQU,1,
2010,JUN,unveg,14,14C,C,SAGLAT,0.1,
2010,JUN,unveg,14,14C,C,PELVIR,0.1,
2010,JUN,unveg,14,14X,X,BARE,60,
2010,JUN,unveg,14,14X,X,DET,5,
2010,JUN,unveg,14,14X,X,UNKOPP,0.5,
2010,JUN,unveg,14,14X,X,PONCOR,4,"changed from PONCOR 2, PELVIR? 2 to PONCOR, 4 based on AUG10 data ck 23feb11"
2010,JUN,unveg,14,14X,X,TYPLAT,0.5,
2010,JUN,unveg,14,14X,X,PERPUN,1,changed from POLSP to POLPUN based on AUG10 data ck 23feb11
2010,JUN,unveg,14,14X,X,ZIZAQU,30,includes 0.5 % dead ck 6sep16
2010,JUN,unveg,15,15C,C,BARE,95,
2010,JUN,unveg,15,15C,C,DET,0.5,
2010,JUN,unveg,15,15C,C,PERPUN,6,changed from POLSP to POLPUN based on AUG10 data ck 23feb11
2010,JUN,unveg,15,15C,C,PELVIR,0.1,
2010,JUN,unveg,15,15C,C,TYPSPP,0.1,changed from TYPLAT to TYPSPP ck 23aug17
2010,JUN,unveg,15,15X,X,BARE,90,"rounded off from 88% to 90%, nearest multiple of 5 ck 23feb11"
2010,JUN,unveg,15,15X,X,PERPUN,10,changed from POLSP to POLPUN based on AUG10 data ck 23feb11
2010,JUN,unveg,15,15X,X,SAGLAT,0.5,
2010,JUN,unveg,15,15X,X,PELVIR,0.5,
2010,JUN,unveg,15,15X,X,TYPSPP,0.1,changed from TYPLAT to TYPSPP ck 23aug17
2010,JUN,unveg,15,15X,X,BIDFRO,0.5,
2010,JUN,unveg,15,15X,X,PONCOR,0.5,
2010,JUN,unveg,16,16C,C,BARE,99,
2010,JUN,unveg,16,16C,C,DET,0.5,
2010,JUN,unveg,16,16C,C,PERSPP,0.5,
2010,JUN,unveg,16,16X,X,BARE,45,
2010,JUN,unveg,16,16X,X,DET,1,
2010,JUN,unveg,16,16X,X,BIDFRO,0.1,
2010,JUN,unveg,16,16X,X,ZIZAQU,0.5,
2010,JUN,unveg,16,16X,X,SAGLAT,0.5,
2010,JUN,unveg,16,16X,X,PERPUN,55,changed from POLSP to POLPUN based on AUG10 data ck 23feb11
2010,AUG,unveg,5,5C,C,BARE,99,
2010,AUG,unveg,5,5C,C,DET,0.1,
2010,AUG,unveg,5,5C,C,TRASH,0.5,
2010,AUG,unveg,5,5C,C,PERSPP,0.5,
2010,AUG,unveg,5,5X,X,BARE,96,
2010,AUG,unveg,5,5X,X,DET,1,
2010,AUG,unveg,5,5X,X,ZIZAQU,3,
2010,AUG,unveg,6,6C,C,BARE,99,
2010,AUG,unveg,6,6C,C,DET,0.5,
2010,AUG,unveg,6,6C,C,TRASH,0.5,
2010,AUG,unveg,6,6X,X,BARE,98,
2010,AUG,unveg,6,6X,X,DET,1,
2010,AUG,unveg,6,6X,X,ZIZAQU,0.5,
2010,AUG,unveg,9,9C,C,BARE,100,
2010,AUG,unveg,9,9C,C,TRASH,0.1,
2010,AUG,unveg,9,9X,X,BARE,55,
2010,AUG,unveg,9,9X,X,ZIZAQU,40,includes 10 % dead ck 6sep16
2010,AUG,unveg,9,9X,X,PONCOR,3,
2010,AUG,unveg,9,9X,X,PELVIR,1,
2010,AUG,unveg,10,10C,C,BARE,100,
2010,AUG,unveg,10,10X,X,BARE,95,
2010,AUG,unveg,10,10X,X,DET,0.1,
2010,AUG,unveg,10,10X,X,TRASH,3,
2010,AUG,unveg,10,10X,X,PONCOR,4,
2010,AUG,unveg,13,13C,C,BARE,99,
2010,AUG,unveg,13,13C,C,DET,0.5,
2010,AUG,unveg,13,13C,C,TRASH,0.1,
2010,AUG,unveg,13,13X,X,BARE,90,
2010,AUG,unveg,13,13X,X,DET,0.5,
2010,AUG,unveg,13,13X,X,TRASH,1,
2010,AUG,unveg,13,13X,X,PERPUN,2,
2010,AUG,unveg,13,13X,X,ZIZAQU,8,includes 0.1 % dead ck 6sep16
2010,AUG,unveg,14,14C,C,BARE,95,
2010,AUG,unveg,14,14C,C,DET,1,
2010,AUG,unveg,14,14C,C,TRASH,0.1,
2010,AUG,unveg,14,14C,C,PERHYD,6,
2010,AUG,unveg,14,14X,X,BARE,15,
2010,AUG,unveg,14,14X,X,DET,5,
2010,AUG,unveg,14,14X,X,TRASH,2,
2010,AUG,unveg,14,14X,X,ZIZAQU,75,includes 3 % dead ck 6sep16
2010,AUG,unveg,14,14X,X,PONCOR,11,
2010,AUG,unveg,14,14X,X,PERPUN,4,
2010,AUG,unveg,15,15C,C,BARE,95,
2010,AUG,unveg,15,15C,C,DET,1,
2010,AUG,unveg,15,15C,C,PERPUN,6,
2010,AUG,unveg,15,15X,X,BARE,35,
2010,AUG,unveg,15,15X,X,DET,0.5,
2010,AUG,unveg,15,15X,X,PERPUN,55,includes 1 % dead ck 6sep16
2010,AUG,unveg,15,15X,X,PONCOR,6,
2010,AUG,unveg,15,15X,X,PELVIR,0.5,
2010,AUG,unveg,16,16C,C,BARE,100,
2010,AUG,unveg,16,16C,C,DET,0.1,
2010,AUG,unveg,16,16X,X,BARE,10,
2010,AUG,unveg,16,16X,X,DET,1,
2010,AUG,unveg,16,16X,X,ZIZAQU,1,
2010,AUG,unveg,16,16X,X,PERPUN,90,includes 8 % dead ck 6sep16
2010,AUG,unveg,16,16X,X,PONCOR,10,
2011,JUN,unveg,5,5C,C,BARE,99,
2011,JUN,unveg,5,5C,C,DET,0.5,
2011,JUN,unveg,5,5C,C,TRASH,0.5,
2011,JUN,unveg,5,5X,X,BARE,96,
2011,JUN,unveg,5,5X,X,ZIZAQU,4,
2011,JUN,unveg,5,5X,X,PERPUN,0.1,
2011,JUN,unveg,5,5X,X,,,5X COM: ZIZAQU all grazed
2011,JUN,unveg,6,6C,C,BARE,99,
2011,JUN,unveg,6,6C,C,DET,0.5,
2011,JUN,unveg,6,6C,C,TRASH,1,
2011,JUN,unveg,6,6X,X,DET,1,
2011,JUN,unveg,6,6X,X,PHAARU,11,includes 1 % dead ck 6sep16
2011,JUN,unveg,6,6X,X,BARE,90,
2011,JUN,unveg,6,6X,X,,,6X COM: PHAARU not grazed; some grazing of other things outside sample plot
2011,JUN,unveg,9,9C,C,BARE,100,
2011,JUN,unveg,9,9X,X,BARE,30,
2011,JUN,unveg,9,9X,X,DET,0.5,
2011,JUN,unveg,9,9X,X,ZIZAQU,25,
2011,JUN,unveg,9,9X,X,PONCOR,45,includes 0.1 % dead ck 6sep16
2011,JUN,unveg,9,9X,X,PELVIR,1,
2011,JUN,unveg,9,9X,X,PERPUN,1,
2011,JUN,unveg,9,9X,X,,,"9X COM: ZIZAQU grazed, almost all; PONCOR- not grazed"
2011,JUN,unveg,10,10C,C,BARE,100,
2011,JUN,unveg,10,10X,X,BARE,75,
2011,JUN,unveg,10,10X,X,DET,1,
2011,JUN,unveg,10,10X,X,PONCOR,25,
2011,JUN,unveg,10,10X,X,ZIZAQU,1,
2011,JUN,unveg,10,10X,X,,,10X COM: ZIZAQU mostly browsed; PONCOR only slight browse of some smaller plants
2011,JUN,unveg,13,13C,C,BARE,99,
2011,JUN,unveg,13,13C,C,DET,0.5,
2011,JUN,unveg,13,13C,C,PERSPP,0.1,
2011,JUN,unveg,13,13C,C,ZIZAQU,0.1,
2011,JUN,unveg,13,13C,C,,,13C COM: ZIZAQU browsed
2011,JUN,unveg,13,13X,X,BARE,25,
2011,JUN,unveg,13,13X,X,DET,1,
2011,JUN,unveg,13,13X,X,TRASH,2,
2011,JUN,unveg,13,13X,X,PERPUN,3,
2011,JUN,unveg,13,13X,X,ZIZAQU,70,
2011,JUN,unveg,13,13X,X,PELVIR,0.5,
2011,JUN,unveg,13,13X,X,BIDLAE,2,
2011,JUN,unveg,13,13X,X,,,13X COM: ZIZAQU < 50% browsed
2011,JUN,unveg,14,14C,C,BARE,97,
2011,JUN,unveg,14,14C,C,DET,0.5,
2011,JUN,unveg,14,14C,C,PERSPP,2,
2011,JUN,unveg,14,14C,C,ZIZAQU,0.1,
2011,JUN,unveg,14,14X,X,BARE,10,
2011,JUN,unveg,14,14X,X,DET,5,
2011,JUN,unveg,14,14X,X,TRASH,1,
2011,JUN,unveg,14,14X,X,ZIZAQU,60,
2011,JUN,unveg,14,14X,X,TYPLAT,4,
2011,JUN,unveg,14,14X,X,PONCOR,20,
2011,JUN,unveg,14,14X,X,PERPUN,35,
2011,JUN,unveg,14,14X,X,PELVIR,2,
2011,JUN,unveg,14,14X,X,,,14X COM: ZIZAQU very little browsed; TYPLAT- tallest culm/crown; nothing browsed except a little PONCOR near edge
2011,JUN,unveg,15,15C,C,BARE,95,
2011,JUN,unveg,15,15C,C,DET,0.5,
2011,JUN,unveg,15,15C,C,PELVIR,3,
2011,JUN,unveg,15,15C,C,PERSPP,2,
2011,JUN,unveg,15,15C,C,UNKMON,0.1,
2011,JUN,unveg,15,15X,X,BARE,20,
2011,JUN,unveg,15,15X,X,DET,4,
2011,JUN,unveg,15,15X,X,PONCOR,35,
2011,JUN,unveg,15,15X,X,PELVIR,2,
2011,JUN,unveg,15,15X,X,LEEORY,5,
2011,JUN,unveg,15,15X,X,PERPUN,35,
2011,JUN,unveg,15,15X,X,,,"15X COM: also in exclosure: SAGLAT, BIDSP, ZIZAQU; no signs of browse except a little to PONCOR"
2011,JUN,unveg,16,16C,C,BARE,99,
2011,JUN,unveg,16,16C,C,DET,0.5,
2011,JUN,unveg,16,16C,C,PERSPP,0.1,
2011,JUN,unveg,16,16X,X,BARE,15,
2011,JUN,unveg,16,16X,X,DET,20,
2011,JUN,unveg,16,16X,X,PONCOR,30,
2011,JUN,unveg,16,16X,X,BIDLAE,20,
2011,JUN,unveg,16,16X,X,ZIZAQU,2,
2011,JUN,unveg,16,16X,X,PERPUN,35,
2011,JUN,unveg,16,16X,X,LEEORY,4,
2011,JUN,unveg,16,16X,X,,,16X COM: very low browse
2011,AUG,unveg,5,5C,C,BARE,98,
2011,AUG,unveg,5,5C,C,DET,0.1,
2011,AUG,unveg,5,5C,C,TRASH,1,
2011,AUG,unveg,5,5C,C,PERHYD,1,
2011,AUG,unveg,5,5X,X,DET,0.1,
2011,AUG,unveg,5,5X,X,TRASH,1,
2011,AUG,unveg,5,5X,X,ZIZAQU,2,includes 0.1 % dead ck 6sep16
2011,AUG,unveg,5,5X,X,PONCOR,25,includes 0.5 % dead ck 6sep16
2011,AUG,unveg,5,5X,X,BARE,70,
2011,AUG,unveg,5,5X,X,,,5X COM: heavily browsed
2011,AUG,unveg,6,6C,C,BARE,99,
2011,AUG,unveg,6,6C,C,DET,0.1,
2011,AUG,unveg,6,6C,C,TRASH,1,
2011,AUG,unveg,6,6X,X,BARE,85,
2011,AUG,unveg,6,6X,X,DET,0.1,
2011,AUG,unveg,6,6X,X,PHAARU,15,includes 3 % dead ck 6sep16
2011,AUG,unveg,6,6X,X,WOOD,0.5,
2011,AUG,unveg,9,9C,C,BARE,100,
2011,AUG,unveg,9,9C,C,DET,0.1,
2011,AUG,unveg,9,9X,X,BARE,5,
2011,AUG,unveg,9,9X,X,DET,3,
2011,AUG,unveg,9,9X,X,PERPUN,2,
2011,AUG,unveg,9,9X,X,PONCOR,75,includes 5 % dead ck 6sep16
2011,AUG,unveg,9,9X,X,ZIZAQU,15,includes 10 % dead ck 6sep16
2011,AUG,unveg,9,9X,X,,,9X COM: lots of browsed ZIZAQU in + out of plot 
2011,AUG,unveg,10,10C,C,BARE,100,
2011,AUG,unveg,10,10C,C,DET,0.1,
2011,AUG,unveg,10,10X,X,BARE,20,
2011,AUG,unveg,10,10X,X,DET,1,
2011,AUG,unveg,10,10X,X,TRASH,1,
2011,AUG,unveg,10,10X,X,PERPUN,3,
2011,AUG,unveg,10,10X,X,PONCOR,75,includes 5 % dead ck 6sep16
2011,AUG,unveg,10,10X,X,PELVIR,2,
2011,AUG,unveg,10,10X,X,ZIZAQU,0.1,
2011,AUG,unveg,13,13C,C,BARE,100,
2011,AUG,unveg,13,13C,C,DET,0.1,
2011,AUG,unveg,13,13X,X,BARE,85,
2011,AUG,unveg,13,13X,X,DET,3,
2011,AUG,unveg,13,13X,X,ZIZAQU,7,includes 1 % dead ck 6sep16
2011,AUG,unveg,13,13X,X,PERPUN,4,includes 0.5 % dead ck 6sep16
2011,AUG,unveg,13,13X,X,,,13X COM: browsed
2011,AUG,unveg,14,14C,C,BARE,96,
2011,AUG,unveg,14,14C,C,DET,2,
2011,AUG,unveg,14,14C,C,PERHYD,2,
2011,AUG,unveg,14,14X,X,DET,3,
2011,AUG,unveg,14,14X,X,TRASH,2,
2011,AUG,unveg,14,14X,X,ZIZAQU,20,includes 4 % dead ck 6sep16
2011,AUG,unveg,14,14X,X,PERHYD,3,
2011,AUG,unveg,14,14X,X,PERPUN,85,includes 1 % dead ck 6sep16
2011,AUG,unveg,14,14X,X,TYPLAT,1,
2011,AUG,unveg,14,14X,X,PONCOR,12,
2011,AUG,unveg,14,14X,X,AMACAN,1,
2011,AUG,unveg,14,14X,X,WOOD,1,
2011,AUG,unveg,15,15C,C,BARE,98,
2011,AUG,unveg,15,15C,C,DET,0.5,
2011,AUG,unveg,15,15C,C,PERPUN,0.5,
2011,AUG,unveg,15,15C,C,PELVIR,1,
2011,AUG,unveg,15,15X,X,BARE,10,
2011,AUG,unveg,15,15X,X,DET,3,
2011,AUG,unveg,15,15X,X,LEEORY,10,
2011,AUG,unveg,15,15X,X,PERHYD,4,
2011,AUG,unveg,15,15X,X,PERPUN,45,
2011,AUG,unveg,15,15X,X,PONCOR,40,includes 3 % dead ck 6sep16
2011,AUG,unveg,15,15X,X,PELVIR,6,
2011,AUG,unveg,16,16C,C,BARE,100,
2011,AUG,unveg,16,16C,C,DET,0.1,
2011,AUG,unveg,16,16X,X,BARE,5,
2011,AUG,unveg,16,16X,X,DET,3,
2011,AUG,unveg,16,16X,X,BIDLAE,3,
2011,AUG,unveg,16,16X,X,LEEORY,4,
2011,AUG,unveg,16,16X,X,PERHYD,0.1,
2011,AUG,unveg,16,16X,X,PERPUN,45,includes 3 % dead ck 6sep16
2011,AUG,unveg,16,16X,X,PONCOR,45,includes 4 % dead ck 6sep16
2012,JUN,unveg,5,5C,C,BARE,99,
2012,JUN,unveg,5,5C,C,DET,1,
2012,JUN,unveg,5,5X,X,BARE,20,
2012,JUN,unveg,5,5X,X,DET,0.1,
2012,JUN,unveg,5,5X,X,PONCOR,75,
2012,JUN,unveg,5,5X,X,ZIZAQU,6,
2012,JUN,unveg,5,5X,X,,,5X COM: elev gradient rises away from gate
2012,JUN,unveg,6,6C,C,BARE,100,
2012,JUN,unveg,6,6C,C,DET,0.1,
2012,JUN,unveg,6,6X,X,BARE,60,
2012,JUN,unveg,6,6X,X,DET,1,
2012,JUN,unveg,6,6X,X,PHAARU,40,
2012,JUN,unveg,9,9C,C,BARE,99,
2012,JUN,unveg,9,9C,C,DET,1,
2012,JUN,unveg,9,9X,X,DET,3,
2012,JUN,unveg,9,9X,X,ZIZAQU,50,
2012,JUN,unveg,9,9X,X,PONCOR,70,
2012,JUN,unveg,9,9X,X,PERPUN,3,
2012,JUN,unveg,9,9X,X,,,"9X COM: browsing along inner edges; lower tier of PONCOR looks old, ratty"
2012,JUN,unveg,10,10C,C,BARE,100,
2012,JUN,unveg,10,10C,C,DET,0.1,
2012,JUN,unveg,10,10C,C,TRASH,0.1,
2012,JUN,unveg,10,10X,X,DET,1,
2012,JUN,unveg,10,10X,X,PONCOR,100,
2012,JUN,unveg,10,10X,X,ZIZAQU,2,
2012,JUN,unveg,10,10X,X,PERPUN,0.5,
2012,JUN,unveg,10,10X,X,BIDLAE,0.5,
2012,JUN,unveg,10,10X,X,,,10X COM: NUPLUT plant along W edge; PONCOR sheared off at fence
2012,JUN,unveg,13,13C,C,BARE,99,
2012,JUN,unveg,13,13C,C,DET,0.1,
2012,JUN,unveg,13,13C,C,TRASH,1,
2012,JUN,unveg,13,13X,X,BARE,45,
2012,JUN,unveg,13,13X,X,DET,2,
2012,JUN,unveg,13,13X,X,TRASH,0.1,
2012,JUN,unveg,13,13X,X,ZIZAQU,50,
2012,JUN,unveg,13,13X,X,PERPUN,4,
2012,JUN,unveg,13,13X,X,PONCOR,0.5,sdlng
2012,JUN,unveg,13,13X,X,,,"13X COM: ZIZAQU shorter than other plots; browsed only along edges, in 0.5m in some cases"
2012,JUN,unveg,14,14C,C,BARE,85,
2012,JUN,unveg,14,14C,C,DET,0.5,
2012,JUN,unveg,14,14C,C,WOOD,3,
2012,JUN,unveg,14,14C,C,NUPADV,10,changed from NUPLUT to NUPADV based on Flora of VA
2012,JUN,unveg,14,14C,C,PERHYD,1,based on aug12
2012,JUN,unveg,14,14X,X,DET,2,
2012,JUN,unveg,14,14X,X,TYPLAT,6,
2012,JUN,unveg,14,14X,X,PONCOR,15,
2012,JUN,unveg,14,14X,X,ZIZAQU,3,
2012,JUN,unveg,14,14X,X,PELVIR,2,
2012,JUN,unveg,14,14X,X,PERPUN,98,based on aug12
2012,JUN,unveg,14,14X,X,BIDLAE,1,
2012,JUN,unveg,14,14X,X,UNKDIC,0.1,
2012,JUN,unveg,14,14X,X,,,"14X COM: needs new short pole; SCHTAB in excl, but outside of plot, has brown spots"
2012,JUN,unveg,15,15C,C,BARE,60,
2012,JUN,unveg,15,15C,C,DET,1,
2012,JUN,unveg,15,15C,C,WOOD,35,"15C COM: large log, too large to move"
2012,JUN,unveg,15,15C,C,PONCOR,0.5,
2012,JUN,unveg,15,15C,C,PERPUN,1,"15C COM: looks like POLHYD 1, POLPUN 1"
2012,JUN,unveg,15,15C,C,PERHYD,1,
2012,JUN,unveg,15,15C,C,PELVIR,2,
2012,JUN,unveg,15,15X,X,BARE,2,
2012,JUN,unveg,15,15X,X,DET,2,
2012,JUN,unveg,15,15X,X,PONCOR,55,
2012,JUN,unveg,15,15X,X,LEEORY,20,
2012,JUN,unveg,15,15X,X,PERPUN,20,
2012,JUN,unveg,15,15X,X,AMACAN,1,
2012,JUN,unveg,15,15X,X,BIDLAE,3,
2012,JUN,unveg,15,15X,X,PELVIR,4,
2012,JUN,unveg,16,16C,C,BARE,99,
2012,JUN,unveg,16,16C,C,DET,0.1,
2012,JUN,unveg,16,16C,C,TRASH,0.5,
2012,JUN,unveg,16,16C,C,UNKOPP,0.1,
2012,JUN,unveg,16,16X,X,BARE,2,
2012,JUN,unveg,16,16X,X,DET,2,
2012,JUN,unveg,16,16X,X,PONCOR,55,
2012,JUN,unveg,16,16X,X,PERPUN,35,
2012,JUN,unveg,16,16X,X,BIDLAE,3,
2012,JUN,unveg,16,16X,X,NUPADV,0.5,changed from NUPLUT to NUPADV based on Flora of VA
2012,JUN,unveg,16,16X,X,PELVIR,1,
2012,JUN,unveg,16,16X,X,,,16X COM: short post askew w/ respect to fence posts; reset in winter; we msrd 1.5m from rebar; gradient rises away from gate; small amount of PONCOR herbiv
2012,AUG,unveg,5,5C,C,BARE,99,
2012,AUG,unveg,5,5C,C,DET,0.5,
2012,AUG,unveg,5,5C,C,FEATHR,0.5,
2012,AUG,unveg,5,5X,X,BARE,1,
2012,AUG,unveg,5,5X,X,ZIZAQU,3,
2012,AUG,unveg,5,5X,X,PONCOR,95,
2012,AUG,unveg,5,5X,X,,,"5X COM: if detritus present, veg too low and dense to see it"
2012,AUG,unveg,6,6C,C,BARE,99,
2012,AUG,unveg,6,6C,C,DET,0.5,
2012,AUG,unveg,6,6C,C,TRASH,0.5,
2012,AUG,unveg,6,6X,X,BARE,50,
2012,AUG,unveg,6,6X,X,DET,0.5,
2012,AUG,unveg,6,6X,X,PHAARU,50,
2012,AUG,unveg,9,9C,C,BARE,100,
2012,AUG,unveg,9,9C,C,DET,0.5,
2012,AUG,unveg,9,9X,X,PERPUN,15,
2012,AUG,unveg,9,9X,X,PONCOR,65,
2012,AUG,unveg,9,9X,X,PELVIR,4,
2012,AUG,unveg,9,9X,X,ZIZAQU,30,
2012,AUG,unveg,9,9X,X,,,"9X COM: lots has already senesced- counted it w/ species; remove stringing in Nov, consider removing in Aug next year- dead ZIZAU getting hung up on it"
2012,AUG,unveg,10,10C,C,BARE,99,
2012,AUG,unveg,10,10C,C,DET,0.5,
2012,AUG,unveg,10,10C,C,TRASH,0.5,
2012,AUG,unveg,10,10X,X,BARE,1,
2012,AUG,unveg,10,10X,X,PONCOR,95,
2012,AUG,unveg,10,10X,X,PERPUN,7,
2012,AUG,unveg,10,10X,X,ZIZAQU,5,
2012,AUG,unveg,10,10X,X,,,"10X COM: ZIZAQU attached, but already senesced;, some of senseced PONCOR leaves hung up on stringing"
2012,AUG,unveg,13,13C,C,BARE,100,
2012,AUG,unveg,13,13C,C,DET,0.5,
2012,AUG,unveg,13,13X,X,BARE,40,
2012,AUG,unveg,13,13X,X,ZIZAQU,25,
2012,AUG,unveg,13,13X,X,PONCOR,15,
